瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),钦拌 老炼矫埃(hr)
184,力林,2018-01,4.9,67,58,73.8
184,力林,2018-02,5.5,60,86.6,122.2
184,力林,2018-03,11.4,72,118,190.9
184,力林,2018-04,15.9,68,112.5,205.6
184,力林,2018-05,19.1,76,98.8,159.9
184,力林,2018-06,22.3,79,211.1,187
184,力林,2018-07,27.3,81,48.7,233.7
184,力林,2018-08,28.8,78,376.5,245.7
184,力林,2018-09,23.9,75,187.7,122.8
184,力林,2018-10,17.9,64,347,174.8
184,力林,2018-11,13.9,65,28.6,161.4
184,力林,2018-12,8.7,68,96,61.9
184,力林,2019-01,6.4,64,24.2,97.5
184,力林,2019-02,7.4,63,37.9,110.9
184,力林,2019-03,10.8,63,55.5,187.6
184,力林,2019-04,14.7,68,46.4,196.1
184,力林,2019-05,20,56,42.8,262.3
184,力林,2019-06,21.5,80,145.8,194.3
184,力林,2019-07,25.2,85,510.1,175.1
184,力林,2019-08,27.7,77,242.3,176.5
184,力林,2019-09,24,84,610.6,120.9
184,力林,2019-10,19.7,69,188.6,160.7
184,力林,2019-11,14.6,65,27.5,146.9
184,力林,2019-12,9.7,64,48.2,81.1
184,力林,2020-01,8.9,66,116.7,47.5
184,力林,2020-02,9.1,66,29.8,115.7
184,力林,2020-03,11.5,63,81.6,196.3
184,力林,2020-04,13.2,56,82.3,261.7
184,力林,2020-05,18.8,74,20.6,210
184,力林,2020-06,22.4,83,221.5,164.4
184,力林,2020-07,24.2,85,184.7,114.4
184,力林,2020-08,29.4,74,140.4,239.5
184,力林,2020-09,22.9,76,400.5,134.3
184,力林,2020-10,18.4,61,53.7,180
184,力林,2020-11,14.1,65,28.2,130.3
184,力林,2020-12,7.7,61,29.5,96.2
184,力林,2021-01,6.8,65,116.6,96.5
184,力林,2021-02,9.4,62,52.8,141.2
184,力林,2021-03,12.5,68,81.1,177
184,力林,2021-04,15.4,63,58.8,216.7
184,力林,2021-05,19,68,100.7,231.5
184,力林,2021-06,23.4,75,122.4,200.1
